__label__1 , The European Union includes how many ?
__label__1 , What are Mia Hamms accomplishment ?
__label__2 , Which form of government is still in place in greece ?
__label__2 , When was the canal de panama built ?
__label__2 , What color is the black box on commercial aeroplane ?
__label__1 , An element on the periodic table ?
__label__2 , How did samoans come into samoa ?
__label__1 , Who disscoverd rihanna ?
__label__1 , Modern day meter is defined ?
__label__2 , What is the value of military payment certificate series 661 ?
__label__1 , Adjective starts with the letter e ?
__label__1 , Population of owls just in north america ?
__label__1 , What is ireland 's favorite foods ?
__label__2 , How do you remove the stereo in a hyundai elantre ?
__label__2 , When did herbert walker bush die ?
__label__1 , Huge flowers that start with letter C ?
__label__2 , What is the sound quality of the oboe ?
__label__1 , How do you become a more confident ?
__label__1 , What is the harp seal pups weight ?
__label__1 , Can you catch mew three in emerald ?
__label__2 , Is johnny depp a celtic fan ?
__label__1 , Where is the remove history ?
__label__1 , 2 What were the sources of the American economic recovery of the 1980s and 1990s ?
__label__1 , 1956 world series MVP ?
__label__1 , One of Mussolini 's goals ?
__label__1 , What is the hichest point in the Mississippi ?
__label__2 , Where did Roald Dahl live in his teenaged years ?
__label__1 , How much does 3 miles equal ?
__label__1 , Whywas Benjamin Franklin a famous Scientist ?
__label__1 , How many leagues in a mile in the mexican term ?
__label__1 , 5 parts of chloroplast ?
__label__1 , How do you secur wireless internet ?
__label__2 , What are some ingredients of detergent ?
__label__1 , The total resistence in a parallel circuit is what the smallest resistor in the circuit ?
__label__1 , 97 saturn service light reset ?
__label__2 , How do you hack super smash bros brawl for wii ?
__label__1 , 10 example of figurative speech ?
__label__2 , What is released when an ion is formed ?
__label__2 , What is poe most famous for ?
__label__1 , When did marry curry got noble prize ?
__label__1 , What did stephen a douglass do ?
__label__2 , How many ounces of flour in one cup ?
__label__1 , What year did gondhi die ?
__label__2 , What is the national anthem in Israel ?
__label__2 , How does a singles line work at a theme park ?
__label__2 , How much does a club soccer coach make ?
__label__1 , Mitchell Musso msn address ?
__label__2 , How many people will 10 pounds of ham feed ?
__label__2 , Should you try to stop poverty around the World ?
__label__2 , How much money do forensic psychology people earn ?
__label__1 , No Date Silver Roosevelt Dime Obverse Die Cap ?
__label__2 , What is the punishment for grand theft ?
__label__2 , What is the value of a 1936 Australian Threepence ?
__label__1 , Prozac adverse side effects ?
__label__1 , What is the scotlands longest river ?
__label__2 , Which records has Martin Brodeur broken ?
__label__1 , What occur with the earth that causes an ice age ?
__label__1 , Comparative analyzes of demand and supply ?
__label__1 , A normal pulse rate per mins may be ?
__label__2 , What is the value of the 1939 penny ?
__label__1 , Similiarities between asexual and sexual reproduction ?
__label__1 , What is duane chapmans salary ?
__label__2 , What year did julius cesear die ?
__label__2 , How much is a yen worth in US dollars ?
__label__2 , What machine dealt the final blow in Alaska ?
__label__1 , What continent of uganda is ?
__label__1 , Battery location 1995 525i ?
__label__2 , How do snakes feed their youngling ?
__label__2 , What are the yankee doodle notes for the xylophone ?
__label__1 , Produce antibodies and are formed from b cellls ?
__label__2 , What is osgood schlatter diease ?
__label__2 , What are the three types of government in the us ?
__label__2 , What are the differences between confucius and hanfeizi ?
__label__2 , What is the symbolism and meaning of the monarch butterfly ?
__label__1 , How did evanescence was found ?
__label__2 , How many songs does it take to fill a 1 gig memory card ?
__label__2 , How many calories in a cup of bluberries ?
__label__2 , Where is rapper akon from ?
__label__2 , Where is the county of denmark located ?
__label__1 , Where did lorraine hansberry live her childhood at ?
__label__1 , What causes a nsanmi ?
__label__1 , What cycalone is a category 5 ?
__label__1 , Are the human is agent of pollination ?
__label__1 , What is islams churchs called ?
__label__2 , How is cri-du-chat inherited ?
__label__1 , Install water pump in 1997 Metro ?
__label__1 , What arre the arthropods ?
__label__2 , What are the raw materials in hair gel ?
__label__1 , Are Hyenas are scavengers ?
__label__2 , How do sympathetic nerves affect the pacemaker ?
__label__2 , What is sports officiating ?
__label__2 , Where is national yellowstone park located ?
__label__2 , How do you wipe data form your hard drive ?
__label__1 , Population of Edinburgh Scotland ?
__label__2 , Where is the inertia switch in your 97 chevey tahoe ?
__label__1 , What Are The Additional Symbols Of Utah ?
__label__1 , Making pleasurable sex for your wife ?
__label__2 , What is saint Lucia 's capital ?
__label__2 , Are humans also mammals ?
__label__1 , Install knock sensor on quest 1994 ?
__label__2 , What is the worth of an 1950 10 dollar bill ?
__label__1 , What kind of energy the helicopter uses ?
__label__2 , What countries have genocide happened in ?
__label__2 , How do you replace a fuel injector on a 1994 Nissan Altima ?
__label__1 , What are the subject requirements for being a paediatrician ?
__label__2 , How do you get rid of the fear of losing the man you love ?
__label__1 , What is an instrument to measure high ?
__label__2 , How long does it take to become a professional motorbike rider ?
__label__2 , Which planet is the biggest planet in the universe ?
__label__2 , What are the uses of the platform balance ?
__label__1 , What symmetry do alligatorhave ?
__label__2 , How does a virus get its shape ?
__label__2 , Where is the flasher relay on a chevy beretta ?
__label__2 , How is phenotype determined ?
__label__2 , What are some features of spreadsheet sofware ?
__label__2 , What is special about a noble mini macaw ?
__label__1 , What is size of dubai bus ?
__label__1 , How do you design a t shirt on stardol ?
__label__2 , How many obese people are there in England ?
__label__1 , What is oscar peterson major accomplishment ?
__label__2 , What kind of widlife lives in pennsylvania ?
__label__2 , Which food represents Italy ?
__label__1 , How much is an ipod touch in philippines ?
__label__2 , What is the value of a 1945 half penny ?
__label__1 , Another name for a street trader ?
__label__1 , What is the symbolism of gypsy woman tattoo ?
__label__1 , Who has survival as business aim ?
__label__1 , Where did ella-fitzgerald go to school ?
__label__2 , How much does it cost to send a letter from Australia to California ?
__label__2 , What is the name of the hamster from the wonder pets ?
__label__2 , Who created the batman character ?
__label__1 , How does an infa red work ?
__label__1 , How much do recentely graduated RN 's make in Arizona ?
__label__1 , Where and when was Hinduism foundded ?
__label__1 , Ocean that borders africa to the west ?
__label__2 , What are the pixels of an lcd made of ?
__label__2 , How much are the tuition fees for Dartmouth University ?
__label__1 , How much do Westie cost ?
__label__1 , What simple machine are there in a pencil sharpener ?
__label__2 , What is the sciencific name for the red maple tree ?
__label__1 , How big is nano technology ?
__label__2 , Who first used the word Biological Diversity ?
__label__1 , Light emitting diod mean ?
__label__2 , What colony did Lord Berkeley found ?
__label__2 , How much do equipment operators make ?
__label__2 , Are there more sheep in wales then enlgand ?
__label__1 , Business cycle in 1920 and 1930 ?
__label__1 , How did Nelson Mandela played in abolishing apartheid ?
__label__1 , Why was ww2 refferd to the phony war ?
__label__1 , How many songs has Avril Lavign san ?
__label__1 , What is the temperature metal melts ?
__label__1 , What parts in a light bulb ?
__label__2 , Why is genome sequencing important ?
__label__1 , When was recordings invented ?
__label__2 , How do you remove an oil pan in a 1993 ford club wagon ?
__label__2 , What are the different relationships of an ecosystem ?
__label__1 , What direction does the ploar easterlies blow ?
__label__2 , How much money does a Heavy equipment operator make per year ?
__label__2 , What is inflammation of periosteum ?
__label__1 , What bugs do prey mantises eat ?
__label__1 , The differences of the two intestines ?
__label__2 , Reasons why you need to study computer ethics ?
__label__2 , Where was Agriculture found in Delaware ?
__label__2 , Where did they decide to bury michael jackson ?
__label__1 , How many faces are there in triangle based prism ?
__label__2 , What temperature do you bake pizza at ?
__label__2 , In what direction dose the heat flow always go in ?
__label__2 , How do you remove the dash panel on a 1999 Cadillac Catera ?
__label__2 , What is one of the main functions of the large intestines ?
__label__1 , What are colors of braces ?
__label__1 , Purposes of nursing reseach ?
__label__1 , Radio wiring for 2002 GMC Envoy ?
__label__1 , How many babies can a black bear have in a offspring ?
__label__2 , What is the most detailed type of DNA map ?
__label__1 , What is the physical functions in gracie 's choice ?
__label__1 , Where is the flasher for your 1996 honda accord located at ?
__label__2 , What are examples of neutral goods ?
__label__1 , Standard width of home interior bathroom door ?
__label__1 , Other name for castrated male cattle ?
__label__2 , What are the origins of the Philippines ?
__label__1 , What are the opportunities of fishing in antarctica ?
__label__2 , What influence did the irish have on horseracing ?
__label__1 , What is louisana state capital ?
__label__2 , How is the worm designed to survive in its habitat ?
__label__2 , What do they eat in belguim ?
__label__1 , The relationships between criminology and criminal justice ?
__label__2 , How wide can you open a pussy ?
__label__2 , How may have henry II 's personality caused the murder of thomas becket ?
__label__2 , Where did John Tyler the president die ?
__label__1 , How far from london from brazil ?
__label__2 , How many chapters in the Koran ?
__label__1 , What are thr aboriginal peoples of canada ?
__label__2 , What are the steps of making a 5 pound note ?
__label__1 , Wheredid the celts come from ?
__label__2 , Where has shayne ward gone ?
__label__1 , How many does a canker sore last ?
__label__1 , Ino likes sai or shikamaru ?
__label__2 , What pokemon did may get ?
__label__2 , What year did the US Open tennis start ?
__label__1 , How do dolhpins feed their young ?
__label__2 , How do the 5 themes of geography relate to world history ?
__label__2 , Why was julius caesar assassinated ?
__label__2 , What is an important feature on an OS ?
__label__1 , Name the tv program containing melinda gordon jennifer love hewitt ?
__label__1 , How much does 10 pounds wiegh in ounces ?
__label__1 , What where the miracles of jesus ?
__label__2 , How long does it take to dehydrate ground beef for jerky ?
__label__2 , Which president number was benjamin franklin ?
__label__1 , Who invented the digital clock when and why ?
__label__2 , What is the phylum word for a worm ?
__label__2 , What place is affected the most by acid rain ?
__label__2 , How do you get rid of algae in swimming pool ?
__label__2 , What is good for you in cucumber ?
__label__1 , What attitude can be prefer to the color violet ?
__label__2 , Can you use the word scrupulous in a sentence ?
__label__2 , What is the office record called ?
__label__1 , What is the main ingrdent in gum ?
__label__1 , There is different levels of faith ?
__label__1 , What are the simbiotic relationships ?
__label__1 , How many nose jobs has jennifer gray ?
__label__2 , What is wedding wine toasting ?
__label__1 , How much money a music director make ?
__label__2 , What is the 2009 esimate of perths population ?
__label__2 , What is wabamun 's postal code ?
__label__2 , What did Rudyard Kipling do in his free time ?
__label__1 , The function of Independent Regulation Commissions ?
__label__1 , What is the natuonal bird if Canada ?
__label__2 , What was the climate like in the northern coloines ?
__label__1 , What kind of trade did the maya use ?
__label__2 , How you can prevent improper waste disposal ?
__label__1 , Who invente the tractor ?
__label__1 , What is thge worlds largest bay ?
__label__1 , A larg suburb of wellington ?
__label__2 , How many known varities of daffodils are there ?
__label__1 , 500 dollars in euros ?
__label__1 , Absolut location for israel ?
__label__2 , Where is the egr valve in a 97 nissan altima ?
__label__2 , How many microgram in mg ?
__label__1 , Peanuts are not nuts but are ?
__label__1 , What is madison pettis favorite food ?
__label__2 , What continent is the country Belarus on ?
__label__2 , How can you start a music career ?
__label__1 , Three countries in which andean music originated ?
__label__1 , Why people love romantic movies ?
__label__2 , Where did robert hooke live growing up ?
__label__1 , What are Ecuadors relgions ?
__label__2 , How many ounces is 13 tablespoons ?
__label__2 , How much is a 20 dollar bill worth from 1930 ?
__label__2 , Why was new amsterdam established ?
__label__1 , What is the religion in rorway is ?
__label__2 , What job can you get with an associates in Elementary Education ?
__label__1 , What indesteries drive the economy in italy ?
__label__2 , What is the value of a 1880 Morgan dollar in good condition ?
__label__1 , How died eros die ?
__label__1 , What is michel jackson shoe size ?
__label__1 , What country is peppers ?
__label__1 , What are words woth the suffix age ?
__label__2 , Names of meteors in the milkyway ?
__label__1 , What city is the university kansas in ?
__label__2 , How do you get rid of browsing history ?
__label__2 , Why was the manchuria conference unsuccessful ?
__label__1 , Which microbe carry the deadliest diseases ?
__label__2 , What is the relationship between ant and aphid ?
__label__2 , Is crab meat healthy to eat ?
__label__1 , Are buzzards decomposer ?
__label__2 , What did bartholomew dias look like ?
__label__2 , What is punishment for underage sex ?
__label__1 , What causes a cell to swell necause of osmosis ?
__label__2 , How important was the digital compact disk ?
__label__1 , What is Earthquake P waves ?
__label__2 , What date did the Gaza problem start ?
__label__1 , Who are Californias US Representative and US Senators ?
__label__2 , What type of star is Rigel Kent ?
__label__2 , What is nasal trachoma ?
__label__1 , What is difference between a grand hury and a petit jury ?
__label__2 , What was the first precedent that was set by George Washington ?
__label__1 , What city was basketball originatly played ?
__label__2 , Who is the largest retailer ?
__label__1 , Two results of the US adoption in the 18th admendment ?
__label__1 , What is the importance of the Treaty ofNanking ?
__label__1 , What is an interesting fact about protist ?
__label__2 , How do you make refried beans from pinto beans ?
__label__1 , Brief history of apj abdul kalam ?
__label__2 , What is the theme music for k-ville ?
__label__2 , How many atoms does a speck of dust have ?
__label__1 , Required subjects to become a paediatrician ?
__label__2 , How do you remove headrest on 2006 cobalt ?
__label__2 , How did Socrates ' students feel about him going into trial ?
__label__2 , What is equivalent to 1 meter ?
__label__1 , Who does abdul like ?
__label__2 , What are the responsibilities of a creative writer ?
__label__1 , Average newborn hand size ?
__label__1 , How do you remove the fan clutch off a 1997 for explorer ?
__label__2 , Are airsoft guns banned in australia ?
__label__2 , How do you find the golden crown on bin weevils ?
__label__2 , President General ford 's original name ?
__label__2 , Where can you find a resource map of the thirteen colonies ?
__label__1 , Max age limit to obtain pilot license ?
__label__2 , Where is the PCV valve located on a 2001 nissan altima ?
__label__2 , What do meerkats eats ?
__label__1 , Words that end in erer ?
__label__2 , In the movie Cinderella where does she live ?
__label__2 , What exactly is an asylum seeker ?
__label__2 , What language is used in Zambia ?
__label__1 , Avril favorite place ?
__label__2 , How do Glucose and Oxygen get into your bloodstream ?
__label__2 , What is the name of the stadium the Seattle Mariners play in ?
__label__1 , How do sea sponges benifit the environment ?
__label__2 , What is popular music in the us ?
__label__2 , How much does a cup of peanuts weigh ?
__label__1 , What are five diseases caused by bacteria and their symtoms ?
__label__2 , What is the value of a two dollar 1953 US note ?
__label__2 , What is the youth population of huntington wv ?
__label__1 , What color is chris browns birthstone color ?
__label__2 , How do you use yellow extended release xanax x ?
__label__2 , What is the price of an original Roger Staubach football card ?
__label__2 , How did james clerk maxwell start ?
__label__2 , Can a monkey play basketball ?
__label__2 , What region is Cyprus located in ?
__label__1 , How big is gorilla is ?
__label__2 , How can you get the miniclip rank award ?
__label__1 , The name of daddy yankee pets ?
__label__2 , What is sand 's density ?
__label__2 , What is uterin cancer ?
__label__1 , What are two raw materrials of cement ?
__label__2 , What can icebergs do to a ship ?
__label__1 , How much does sonography get paid ?
__label__1 , Percent of teens who drive sibilings ?
__label__2 , What is the secret sauce ?
__label__2 , What did aristotle have right ?
__label__1 , Where is the 2001 Chevy Impala Coolant temperature sensor located a 3.4 engine ?
__label__1 , How many satellites around saturn ?
__label__2 , What can glucose be detected by ?
__label__2 , In what year was the movie dirty dancing released ?
__label__2 , How can i make my own default layout on myspace ?
__label__2 , Can dogs go through menopause ?
__label__1 , What is slower snail slug ?
__label__1 , What is department codes of petroleum engineering in anna university ?
__label__1 , Wich composer was a catholic priest ?
__label__1 , Name the different type of merger ?
__label__2 , How do 2 or 3 toed sloths defend themselves ?
__label__1 , Are television sHow is in qouts ?
__label__1 , What is the strongest animal in the junggle ?
__label__2 , How do you convert weight into length ?
__label__2 , Is there a superman cheat for cj ?
__label__2 , How much does a electrician earn a year ?
__label__1 , Tyra and beyonce net worth ?
__label__1 , Rome to verona by train ?
__label__2 , What is the output of the heart measured in ?
__label__2 , The Russian language belongs to what branch of the Indo-European family of languages ?
__label__1 , What do the nike symbol mean ?
__label__2 , Does stephanie rice eat lots of rice ?
__label__2 , What are the things that are man made ?
__label__1 , Nerves to the central auditory system and brain ?
__label__1 , What did pennsylvania eat and drink ?
__label__2 , How do you install a thermostat on a 2000 oldsmobile alero ?
__label__2 , How could blocked arteries be treated ?
__label__2 , What temperatures are near absolute zero ?
__label__2 , What is the standard size of a living room couch ?
__label__1 , The structure of Golgi Apparatus ?
__label__2 , Are all multicelluar organisms all identical ?
__label__1 , How did muhammad ali show islams commitment to piece ?
__label__2 , What is a model 188 springfield worth ?
__label__1 , How did Hernan Cortes conquore the Aztec empire ?
__label__2 , What is the property of a fluid that represents its resistansce to flow ?
__label__2 , What is the icon on the desktop that provides a user with immediate acess to a program ?
__label__1 , When did giovanni da verrazano become born ?
__label__2 , Average penis size for age 17 ?
__label__2 , What can equal up to 1 milliliter ?
__label__2 , On funbrain what are all of the user passwords ?
__label__2 , How much money does a marketing consultant earn in a month ?
__label__2 , What is deodorant cake ?
__label__1 , Why was the stamp act the most hated taxes of the colonies ?
__label__1 , When was he born mahe drysdale born ?
__label__2 , Can chinse dwarf hamsters eat carrots ?
__label__1 , How many elementary schools in canada ?
__label__1 , .4 change to fraction ?
__label__1 , Are is most wired communication will soon use fiber optics ?
__label__2 , Smithsonian Institution is in what state ?
__label__1 , What is joes favoret color ?
__label__1 , What is the wave lengh of red light ?
__label__1 , Who are Henery Hudson Sponsors ?
__label__2 , What was the differences between how boys and girls were brought up by their parents in the north east ?
__label__2 , What is maxtor maxblast ?
__label__2 , How much is an alvarez ad60k guitar worth ?
__label__1 , Seasonal hotel meaning ?
__label__2 , What is the top salary of a Heavy equipment operator ?
__label__2 , Which planets are classified as the jovian ?
__label__1 , Shahid address email ?
__label__1 , What How much does the typical human brain weigh ?
__label__1 , What is was lady gagas first song published ?
__label__1 , What is the impact of the renaissance Art ?
__label__1 , Where is Chile Located - ?
__label__1 , When was aleander bell was born ?
__label__1 , How much money does dental technician earn in australia ?
__label__1 , What is the slowest swimming animalin the world ?
__label__2 , What is israel 's airline called ?
__label__2 , What is the scienific name of a tree frog ?
__label__2 , How do Buddhists reach the salvation ?
__label__1 , The meaning of the name natasha ?
__label__2 , How much was Tiger Woods paid in 2007 ?
__label__1 , Why is calcium inportant ?
__label__1 , What is the roles and fuction of the head nurse ?
__label__2 , Where is indana ?
__label__1 , The meaning of the nam stephanie ?
__label__2 , How much money does a RN make in austin texas ?
__label__1 , How many calories 10 oz french fries ?
__label__2 , Where was adventureland movie filmed ?
__label__2 , How many children does tony fadell have ?
__label__1 , Age of natasha bedingfeild ?
__label__2 , What is the main language for Jamaica ?
__label__2 , Can you make plaster ?
__label__2 , What kind of leaves do African Elephants Eat ?
__label__2 , What are three major cities in Indiana ?
__label__1 , What is patent law applied in the philippines ?
__label__1 , What were the effects of the british rule o india ?
__label__1 , What is http ssl ?
__label__2 , How do you beat the watercress salad on poptropica ?
__label__1 , What is the technical term for red blodd cell ?
__label__1 , Problems with Free Press ?
__label__2 , How much money do you get in a year of being a urologist ?
__label__2 , IS Danielle Radcliffe married ?
__label__1 , What is mine FX in nikon camera ?
__label__2 , Where is the battery located on a 2001 Seville ?
__label__1 , How many xcalories in a beef sandwich ?
__label__1 , How many grams of dry ingredient in a tablespoon ?
__label__1 , Do hamsters had rabies ?
__label__2 , What was the first american jetplane ?
__label__1 , What is value of 1916 mercury dime ?
__label__2 , How much money do historians earn a year ?
__label__2 , Why does differential enthalpy control provide greater energy savings than single enthalpy control ?
__label__2 , How did the nuestra familia gang start ?
__label__2 , What is the name of the capital of south vietnam ?
__label__1 , Are hollister shorts to short ?
__label__2 , What are cool facts ?
__label__2 , How many cups in eleven pounds of salt ?
__label__2 , What are the 5 major exports of Canada ?
__label__1 , Another word for rescued ?
__label__1 , How many jewish died in the hocast ?
__label__2 , Which statement is a characteristic of solids ?
__label__2 , What is nat wolffs real last name ?
__label__2 , How much does barack obama love his family ?
__label__2 , What kind of education and training do you have to have to be a surgeon ?
__label__2 , Where did Madonna live ?
__label__2 , How would a scientest improve a pencil ?
__label__1 , How many types of centipedes are their ?
__label__1 , How much memorydoes 2GB hold for psp ?
__label__1 , How many fatty acids does saturated fat ?
__label__1 , Bad effects of industrialisation ?
__label__2 , How many kids does angelina joie have now ?
__label__2 , Where is the insertion point of the biceps ?
__label__2 , Who invented the laptop and where ?
__label__2 , How can you get stop motion ?
__label__1 , An example of a compound machine is a lever ?
__label__2 , How many pets did theodore roosevelt own ?
__label__1 , Mass of a bag of sugar in grams ?
__label__1 , What is cornea in the eye do ?
__label__1 , What are the principals beliefs of judaism ?
__label__1 , How do you correct timing on a 97 ford escort ?
__label__2 , What is latic acid fermentation seen in ?
__label__1 , Real name of david bowie ?
__label__2 , How do you use the word debris in a sentence ?
__label__1 , Tempcompared to earth and saturn ?
__label__1 , The gulf of aden the site of recent pirate attacks connects to which area ?
__label__1 , Industry in India without touriam ?
__label__2 , How do you explain aerobic repiration ?
__label__2 , Where is the flasher unit located on a 2000 dodge durango ?
__label__2 , How many ounces does a green pepper weigh ?
__label__1 , Annual salary for lawyer ?
__label__1 , An obkect 's mass is determined by what ?
__label__1 , Meaning of water management and conservation ?
__label__1 , Safety of motorcycles ?
__label__1 , Roughly what percentage of earths land is protected ?
__label__2 , How does the brain interact with the mind to produce consciousness ?
__label__2 , What predators does a grasshopper have ?
__label__1 , Average heartbeat of a 11 year old ?
__label__1 , College applications and entrance requirements for penn state ?
__label__2 , How do you repair hair breakage ?
__label__2 , What color is mirzam ?
__label__2 , What were the eleven articles of impeachment ?
__label__2 , What is 3 strikes called ?
__label__1 , Staff accountant duties ?
__label__2 , What is the uniform for field hockey players ?
__label__1 , When is rose 's day celebratedin US ?
__label__1 , In which cvountry is volcano popocateplt located ?
__label__1 , How much do diapers cost 2010 ?
__label__2 , How much money did serena williams make playing tennis ?
__label__2 , In the western Hemisphere which country is communist ?
__label__2 , What is the super strength password for dinorun ?
__label__1 , Use adjourn in a sentence hinting the definition ?
__label__1 , Another name for the trisomy 21 ?
__label__2 , Can you take suboxon and wellbutrin together ?
__label__1 , How many calories in apple 1 oz ?
__label__2 , What can Gallium be made into ?
__label__1 , What is th capital of Africa ?
__label__2 , What is typical pay for accountants ?
